Revenue Retention Score,AR Score,Revenue Trend Score,Count
0,0,0,15
0,0,3,2
0,0,6,12
0,0,9,6
0,0,12,7
0,0,14,10
0,0,17,7
0,0,20,2
0,100,0,533
0,100,3,37
0,100,6,40
0,100,9,61
0,100,12,35
0,100,14,39
0,100,17,74
0,100,20,11
0,100,23,7
0,100,31,1
0,100,59,1
0,100,62,4
0,100,64,1
0,100,67,2
0,100,70,2
1,100,20,4
1,100,23,4
1,100,25,1
1,100,28,1
1,100,62,1
1,100,64,3
2,0,20,2
2,100,20,1
2,100,23,1
2,100,28,1
3,0,64,1
3,100,20,1
3,100,25,1
3,100,28,3
3,100,59,2
3,100,62,2
3,100,70,1
4,100,20,1
4,100,23,1
4,100,28,1
4,100,31,1
4,100,53,1
5,100,20,3
5,100,23,2
5,100,28,1
5,100,53,1
5,100,59,1
5,100,67,1
5,100,70,1
6,0,67,1
6,45,67,1
6,100,20,1
6,100,23,2
6,100,56,1
7,100,20,1
7,100,28,1
7,100,31,3
7,100,59,1
8,0,20,1
8,0,23,1
8,100,53,1
8,100,67,1
9,100,20,1
9,100,23,1
9,100,48,1
9,100,62,1
9,100,67,3
10,100,20,3
10,100,31,1
10,100,62,2
11,100,23,1
11,100,48,1
11,100,56,2
11,100,59,1
12,0,20,1
12,0,23,1
12,100,20,2
12,100,28,1
12,100,42,1
12,100,64,1
13,100,20,3
13,100,23,2
13,100,56,2
13,100,64,1
14,100,20,5
14,100,25,1
14,100,48,1
15,0,28,1
15,100,20,1
15,100,25,1
15,100,28,1
15,100,31,1
15,100,53,1
15,100,64,2
16,0,20,1
16,100,23,2
16,100,28,1
16,100,56,1
17,100,20,4
17,100,23,2
17,100,25,1
17,100,28,1
17,100,56,1
18,100,20,1
18,100,23,1
18,100,25,1
18,100,28,1
18,100,31,1
18,100,50,1
18,100,62,1
18,100,67,1
19,100,20,1
19,100,23,1
19,100,28,1
19,100,50,1
20,100,23,1
20,100,53,1
21,0,20,1
21,100,23,2
21,100,25,2
21,100,62,2
22,0,70,1
22,100,25,1
22,100,28,2
22,100,59,2
23,100,23,5
23,100,31,1
23,100,67,1
23,100,70,1
24,100,20,1
24,100,25,1
24,100,28,1
24,100,31,1
24,100,48,1
24,100,50,2
24,100,62,1
25,100,23,2
25,100,28,3
25,100,31,2
26,0,23,1
26,100,20,1
26,100,23,4
26,100,31,3
26,100,56,1
26,100,59,1
26,100,62,1
26,100,64,1
26,100,67,1
27,100,20,1
27,100,23,1
27,100,25,3
27,100,28,1
27,100,53,1
27,100,70,2
28,0,67,1
28,100,25,2
28,100,28,1
28,100,31,1
28,100,67,2
29,100,25,2
29,100,28,1
29,100,31,1
29,100,50,1
29,100,59,1
29,100,64,1
29,100,70,2
30,100,20,1
30,100,23,1
30,100,25,3
30,100,28,1
30,100,59,1
30,100,70,1
31,0,23,1
31,85,48,1
31,100,23,1
31,100,25,4
31,100,31,3
31,100,64,2
31,100,67,1
32,100,25,2
32,100,50,1
32,100,70,1
33,0,20,1
33,76,64,1
33,100,20,1
33,100,23,1
33,100,25,2
33,100,31,1
33,100,56,1
33,100,67,1
33,100,70,1
34,0,62,1
34,100,23,2
34,100,25,5
34,100,31,2
34,100,56,1
34,100,59,1
34,100,64,1
34,100,67,2
34,100,70,2
35,97,23,1
35,100,23,2
35,100,25,4
35,100,31,2
35,100,56,1
35,100,59,1
35,100,64,5
35,100,70,1
35,100,73,1
36,100,23,2
36,100,25,3
36,100,31,1
36,100,39,1
36,100,48,1
36,100,62,1
36,100,64,2
36,100,70,1
36,100,78,1
37,100,25,3
37,100,31,2
37,100,64,2
37,100,67,1
37,100,70,1
38,0,70,1
38,100,23,2
38,100,25,4
38,100,28,3
38,100,53,1
38,100,56,3
38,100,59,1
38,100,64,1
38,100,67,2
38,100,75,1
39,0,23,1
39,0,70,1
39,100,23,1
39,100,25,4
39,100,31,1
39,100,53,1
39,100,62,1
40,100,25,2
40,100,28,1
40,100,31,1
40,100,42,1
40,100,53,1
40,100,62,1
40,100,70,2
40,100,73,1
41,0,31,1
41,100,25,2
41,100,28,1
41,100,31,4
41,100,48,1
41,100,53,1
41,100,56,1
41,100,62,2
41,100,64,1
41,100,70,1
41,100,73,1
42,0,67,1
42,100,28,1
42,100,31,1
42,100,50,1
42,100,53,1
42,100,56,1
42,100,59,1
42,100,67,5
42,100,70,1
43,0,59,1
43,100,23,2
43,100,25,3
43,100,31,1
43,100,59,1
43,100,62,1
43,100,67,1
43,100,70,1
44,100,25,4
44,100,28,1
44,100,31,2
44,100,50,1
44,100,62,1
44,100,64,1
44,100,67,1
44,100,70,1
45,0,73,1
45,100,25,4
45,100,31,3
45,100,59,1
45,100,64,2
46,0,70,1
46,0,73,1
46,100,23,4
46,100,25,4
46,100,31,6
46,100,50,1
46,100,59,1
46,100,62,3
46,100,64,1
46,100,67,1
46,100,70,1
47,0,75,1
47,100,25,1
47,100,28,1
47,100,59,2
47,100,62,2
47,100,75,1
48,100,25,3
48,100,28,1
48,100,31,3
48,100,56,1
48,100,59,1
48,100,62,1
48,100,64,2
48,100,70,2
48,100,73,1
49,100,25,4
49,100,31,2
49,100,56,3
49,100,62,1
49,100,64,3
49,100,67,3
49,100,75,1
50,0,31,1
50,0,64,1
